target_no2,temperature,pct_11240,pct_12100,pct_21000,pct_23000,pct_50000,pct_11100,pct_11220,pct_11230,pct_12220,pct_13300,pct_13400,pct_14100,pct_14200,pct_11210,pct_12230,pct_31000,pct_11300,pct_32000,pct_12210,pct_24000,pct_12400,pct_13100,pct_40000,pct_33000
9.08063,21.581,0.0,8.91,4.13,0.0,0.64,69.24,0.64,0.0,0.18,0.0,0.0,5.42,0.0,10.65,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.08063,21.72,8.72,5.69,5.51,6.8,22.87,16.71,3.95,3.67,1.29,0.0,0.0,9.18,8.91,0.0,0.0,0.0,1.38,5.33,0.0,0.0,0.0,0.0,0.0,0.0
9.872329,21.72,0.0,2.11,76.77,3.58,11.66,1.47,0.0,0.0,1.1,3.03,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,4.22,7.53,11.39,36.82,3.58,6.89,5.33,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,21.03,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,1.74,2.39,0.09,20.39,18.27,38.75,3.58,1.29,0.46,0.0,0.0,1.19,4.5,3.76,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.73,3.03,50.05,9.92,8.36,15.98,2.66,0.28,0.37,0.0,0.0,2.11,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,3.12,88.06,0.0,0.09,6.15,0.83,1.01,0.0,0.0,0.18,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.73,3.49,46.01,0.0,0.0,15.34,6.34,0.0,0.0,4.41,0.18,0.0,0.0,2.48,0.0,16.53,0.73,3.76,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.37,0.0,0.0,0.0,47.75,0.0,1.1,0.0,0.0,0.0,0.0,0.0,2.39,0.0,48.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,22.59,13.22,13.13,0.0,17.17,0.0,0.0,0.64,0.0,5.79,0.0,16.71,0.18,0.0,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,31.31,56.11,1.47,0.0,7.71,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
